list	一覧
show	表示
dateformat	yyyy.MM.dd HH:mm:ss
add	追加
edit	編集
delete	削除
top	トップ
admintop	管理画面トップ
admin	管理
reset	リセット
add_confirm	追加確認
add_exec	追加実行
has_error	入力項目にエラーがあります
add_complete	追加完了しました
edit_confirm	編集確認
edit_exec	編集実行
edit_complete	編集完了しました
delete_confirm	削除確認
delete_exec	Exec 削除実行
delete_complete	削除完了
